,CVL1,TrainL1,CVL2,TrainL2
0.1,-212626841.19722953,-37073.86363636363,-104713767.41747303,-64943.18181818182
0.15000000000000002,-212432673.18572566,-4772.727272727274,-104808275.77220866,-11590.909090909092
0.2,-212428965.83066982,-3196.022727272727,-105001781.85694282,-639.2045454545455
0.25,-212424355.65553746,-3170.454545454545,-105007095.16737728,0.0
0.30000000000000004,-212556788.81137326,-2812.5,-105171261.48344438,0.0
0.35,-212555868.5659745,-876.6233766233767,-105189198.26249129,0.0
0.4,-212517211.19490615,-1470.1704545454545,-105203428.86386898,0.0
0.45000000000000007,-212847579.2930657,-30454.545454545452,-105537247.88227388,-27954.54545454546
0.5,-211694968.86989722,-20045.454545454544,-104416170.46360776,-19329.545454545452
0.55,-271648696.1620335,-6508.264462809918,-163684654.25648817,-5392.561983471074
0.6,-27564843.94132533,-17940.340909090908,-27505659.776076756,-18451.704545454544
0.65,-27769806.704510488,-3815.5594405594406,-28021441.54510804,-3461.538461538462
0.7000000000000001,-27722638.005412836,-2447.2402597402593,-27973885.485805422,-2081.9805194805194
0.75,-27708591.54730583,-2181.8181818181815,-27974805.7312042,-1943.1818181818185
0.8,-27730470.923259508,-5529.119318181819,-28089800.613496937,-7350.852272727274
0.85,-27721958.653320856,-4301.470588235294,-28073926.380368095,-5354.278074866311
0.9,-27722648.837369937,-4090.9090909090905,-28074155.970763136,-4772.727272727274
0.9500000000000001,-27714136.56743129,-2153.11004784689,-28063113.02597786,-2072.3684210526317
1.0,-27713906.506081592,-8240704.8914896045,-28044690.221725453,-8131566.725372118
