,CVL1,TrainL1,CVL2,TrainL2
0.1,-439906.393350642,-7014.30136363676,-391539.1421193021,-8357.465454545973
0.15000000000000002,-436414.9589682178,-895.4427272728093,-389257.5152604046,-2686.3281818182722
0.2,-436146.38718907663,-671.5820454546003,-388586.0858125518,-149.24045454546138
0.25,-436280.67307864723,-656.6580000000492,-388586.0858125518,0.0
0.30000000000000004,-436280.66931787814,-596.9618181818593,-389392.62081866397,0.0
0.35,-436280.66931787814,-213.20064935065716,-389392.62081866397,0.0
0.4,-436280.66931787814,-373.1011363636432,-389392.62081866397,0.0
0.45000000000000007,-431043.5196246266,-198.98727272729096,-384558.32879412407,0.0
0.5,-431043.5146153951,-1373.0149653571852,-384558.32879412407,-1044.6831818182775
0.55,-156204.56175838652,-298.48090909094896,-143982.75899419666,-135.6731404958802
0.6,-12911.243015483535,-771.0775375108554,-10494.447443932546,-621.8352272727842
0.65,-8479.471864500927,-390.3211888112246,-6062.875640929381,-160.72048951050425
0.7000000000000001,-7405.184747936398,-405.0812337662689,-4316.3343934645145,-149.24045454546822
0.75,-6330.622737022796,-318.3796363636692,-4316.334393464502,-139.29109090910367
0.8,-6062.050957881693,-466.37642045459506,-4316.334393464502,-447.7213636364063
0.85,-5793.479178740551,-403.82711229950064,-3913.4767247528084,-298.4809090909381
0.9,-6196.336847452208,-381.39227272730614,-3779.0533880076955,-281.89863636366374
0.9500000000000001,-5793.479178740502,-361.31899521533114,-3376.195719295965,-62.838086124407674
1.0,-5793.479178740502,-477.5176963559006,-3376.195719295965,-179.07070169618922
