,CVL1,TrainL1,CVL2,TrainL2
0.1,-2286.6044379324803,-29.970197124970802,-1623.9621579228135,-3.690262193181817e-08
0.15000000000000002,-2347.4050990469964,-3.927424276065787,-1808.0649793293737,-2.004992287878788e-08
0.2,-2361.1581003954416,-0.37571025288700544,-1819.4277039033063,-1.3717048011363632e-08
0.25,-2349.5790020597046,-0.18034092664325743,-1813.638127054293,-9.753128999999998e-09
0.30000000000000004,-2319.8582257653666,-0.15028410970931433,-2168.875266428167,-5.947474848484848e-09
0.35,-2162.442405007616,-0.030056837877290327,-2268.789939921284,-2.5841022402597395e-09
0.4,-2202.651169705857,-0.2517258739600301,-2268.7899399211483,-3.615690710227272e-09
0.45000000000000007,-1989.9964746787336,-52.56185647820954,-2274.563025938457,-11.599917933598467
0.5,-1972.9341440293015,-116.2546370984791,-2219.308918384603,-14.068720532743466
0.55,-1482.5734634768091,-5.600674096083625,-1842.4594251079575,-2.573544688290159
0.6,-596.811312054862,-102.74150452511826,-375.3074553172137,-18.799834883162372
0.65,-216.31503776977124,-16.231622897203813,-171.5085188647056,-1.2298432165563544
0.7000000000000001,-142.08670925026232,-2.0331290868803658,-135.94155425360918,-2.5340292849326076
0.75,-141.77559498093953,-1.8154318471036952,-135.80630162177306,-2.3009727882821607
0.8,-129.34520533563315,-22.76912533986033,-135.75219780147643,-9.761131051223547
0.85,-118.11005068223469,-21.099140027830693,-118.58168719211915,-6.849987063727187
0.9,-118.11005068101574,-20.9462038649236,-118.56815085407047,-7.175641587095318
0.9500000000000001,-115.08828272293212,-3.6950489985261106,-98.44348476275427,-1.0620923833394853
1.0,-115.08839344949385,-3.591041886445745,-98.32171310460852,-0.9998571002102533
