,CVL1,TrainL1,CVL2,TrainL2
1,27653594.437059004,0.0,28051794.662030883,0.0
2,27688413.948256467,8240048.829123632,28018892.524798036,8131039.727988547
3,27681818.181818184,9309827.748804128,28037989.56948563,9141479.47415664
4,27680993.711013395,9151442.18478372,27956673.73964618,8615536.161672972
5,27671363.12506391,8254173.228346457,27925438.18386338,7746354.432968606
6,27692299.826158095,8552972.071672859,27890760.81398916,8274825.732010772
7,27650714.463103987,8838266.506111598,27772474.753271796,8605337.134342438
8,27571560.79034155,9341241.835182535,27663432.96221495,9108171.048931384
9,27578868.929262627,9760121.525213389,27584779.17533036,9592990.270155624
10,27541547.448614378,9980246.190817056,27524621.89385418,9694949.125677472
11,27519847.30308411,10128369.613077104,27483423.536182698,9608116.016865285
12,27536156.346933905,10221985.923634546,27458897.893445138,9682523.171819432
13,27563979.479030967,10237894.60085644,27439587.971084032,9896613.53183461
14,27509299.133294795,10638498.051843707,27342718.07454958,10224490.056785574
15,27464813.261978615,10804507.959232368,27246050.152821805,10518953.199031938
16,27434978.15392039,10903549.39874348,27158831.764016002,10676394.709805451
17,27447014.664217614,11180087.547250994,27083966.914484855,10798251.036487693
18,27408647.940472092,11261619.680746976,27041517.774293367,10851814.214511063
19,27393645.1959496,11369903.821830884,27051077.142806157,10942448.471327135
20,27388558.454340935,11629826.79721853,27066431.95878924,11114753.553533081
21,27435187.83250424,11815931.345780294,27048421.93890884,11318860.24682907
22,27503603.92357041,11956644.9526266,27034493.663263917,11459144.563869786
23,27560193.219102472,12149643.414353238,27028892.928811807,11582411.31849411
24,27593801.12997239,12306230.764123233,27044233.595445458,11697863.184360476
25,27620333.449227937,12413404.31536967,27066951.99918192,11847913.528990695
26,27674138.1347302,12650395.258890111,27064069.901933316,12019539.591238562
27,27702248.32305614,12820767.458781457,27098353.201079946,12216267.43907292
28,27728362.40220089,12969369.037880002,27153450.60140325,12394331.759956257
29,27751095.008243416,13166338.597876323,27223708.706771612,12510834.933602167
30,27774482.19540739,13314502.78942405,27302391.860108394,12633812.960879892
31,27817361.796642326,13466157.385184482,27402372.34559094,12734207.622164717
32,27877983.139292426,13667917.495198576,27495276.64410823,12924576.075606849
33,27932741.479253486,13834886.318210974,27597604.72277554,13106924.697898861
34,28041110.775650524,13930468.92111512,27738105.514217142,13240300.055977589
35,28161397.914314516,14075785.867675634,27824253.53370717,13408936.955700574
36,28234381.923850432,14257894.392777923,27878861.10195822,13564119.293326974
37,28381957.420423046,14402135.30940281,27995613.78413262,13698485.432364982
38,28575609.1548428,14593891.519194702,28101865.26317489,13903420.280016622
39,28673305.024607267,14804132.370758658,28187560.823993284,14127098.202961318
40,28817959.051283363,14961754.572936906,28308769.50928009,14311662.187468044
41,28919493.15141242,15124777.435579734,28386043.07789902,14518884.646949818
42,29017103.323587332,15366385.686599009,28451233.774349637,14749246.934346562
43,29125939.63422353,15558271.853389876,28562158.40878438,14904988.13668499
44,29177287.95005996,15761620.35583503,28660391.976735443,15140829.03130253
45,29279837.760178965,16038353.412894096,28697771.503309563,15406860.379826263
46,29403934.828326043,16249350.738755614,28751021.76580694,15618921.211708821
47,29427005.03212439,16470377.009131318,28755515.301471718,15836536.436690427
48,29453405.415942326,16694975.12873036,28759212.615734827,16087802.86741501
49,29505368.96653016,16845290.605854608,28763077.411459647,16259741.622638315
