,CVL1,TrainL1,CVL2,TrainL2
1,27643470.70252582,0.0,27259382.34993353,0.0
2,27670544.02290623,6314257.5928009,27281700.582881685,6404623.427753349
3,27685397.279885467,8079430.412107578,27292616.83198691,7906471.918282942
4,27732666.93935985,10950018.854177319,27309540.85284794,10141427.101441866
5,27757470.088966154,10416457.715512834,27297042.64239697,8862611.718989672
6,27760328.254422743,8791173.120405404,27312429.696287964,8109635.443296861
7,27805287.67392017,8496734.986048823,27353826.71321929,8516614.110620216
8,27836818.693117905,9414084.86936292,27402154.808773905,9291118.484124143
9,27863590.91477202,9566884.31622815,27446995.261955895,9300236.460341448
10,27872527.86583495,9696503.988137847,27481800.79762757,9340734.226403518
11,27891650.51776492,9276721.115157375,27519169.091466866,8979660.412470981
12,27899312.301871356,8619335.757746192,27550957.408733,8590771.679108294
13,27931981.706966568,8172666.370576727,27604164.763159316,8423865.504574168
14,27968757.49993217,8255548.515039518,27643480.093745235,8520362.38107064
15,27993514.674302075,8553194.146186272,27667235.913692605,8844200.15679858
16,28025536.22558544,8862803.704046937,27684924.32764086,9074855.677663872
17,28041760.09533882,8935165.956567476,27701096.4813733,9227640.898457998
18,28064889.61607072,8884631.608548932,27722321.64161298,9158387.004023489
19,28076031.11874929,8808016.868075324,27746637.106649753,9192168.106284624
20,28111317.619388487,8903627.288066264,27778025.104816444,9194220.140096124
21,28127423.19547719,9039147.066264214,27796912.793136477,9211188.350992305
22,28162677.82455067,9062514.050178364,27825673.204260435,9244035.329543235
23,28185719.427707724,9061816.668216351,27845585.840264555,9197247.400055405
24,28206614.620615605,8960612.434099147,27858432.291134063,9149707.849018874
25,28236360.282237448,8833720.298599038,27881644.748951837,9206266.366704162
26,28264051.363536526,8856655.45841197,27901278.30981859,9218150.035912
27,28289196.804944843,8970926.368491257,27930419.68238819,9205347.402562333
28,28307985.56256535,8983204.162762353,27942995.428563077,9232879.676566403
29,28323569.859410208,9015416.75061669,27951921.228471454,9278797.452231778
30,28347578.484507617,9065183.158923317,27966585.540443808,9355885.201849768
31,28364974.09609817,9061656.12268384,27984326.721481256,9348746.87407523
32,28386819.811586052,9061010.215408975,28000504.90847735,9371773.893475495
33,28402122.86574622,9064351.812334502,28017658.43319172,9399474.506896256
34,28420877.606168997,9044560.94303484,28031450.85985045,9406060.595740255
35,28441466.658040665,9098877.791018236,28049793.455780923,9430583.173856515
36,28462055.169240214,9122086.479246916,28070748.968878888,9474941.204476966
37,28479341.324946772,9138503.38275748,28084355.677566998,9488311.404463775
38,28502963.484701652,9143160.098566124,28101614.092496812,9480726.054105993
39,28523162.1800368,9131111.956217954,28116585.110831026,9519068.21894708
40,28538112.984456487,9127898.190638103,28135134.663564783,9580737.278223746
41,28554835.481025364,9134495.734677479,28152312.41611536,9564987.548437363
42,28570601.62238533,9177265.628786197,28177481.52538447,9593996.570233919
43,28584823.54573666,9174368.48400489,28195307.230851028,9678752.45743257
44,28607469.286098823,9146876.60309366,28213864.26175503,9693191.5635123
45,28627891.28631648,9207065.429952567,28232709.774914503,9743943.72420619
46,28639507.404760513,9209285.331052557,28250483.46336842,9754785.497200804
47,28651596.317549486,9224246.071313187,28263374.978144195,9768757.281507555
48,28662939.23841906,9214176.275284482,28279352.998133756,9779595.810023036
49,28674826.30183703,9247220.145813907,28292712.405213103,9838845.3012322
