,fit_time,score_time,test_explained_variance,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_r2,test_neg_rmse,algorithm
0,0.1347966194152832,1.8411979675292969,0.9999944524442866,-2.7135441245870755,-1878.607470867976,0.9999944375659584,-43.34290565788103,knn
1,0.1339704990386963,1.461899757385254,0.9999350029341412,-37.399716847569785,-21427.015645987023,0.9999350018785463,-146.37969683664133,knn
2,0.13272476196289062,1.4259238243103027,0.9999857920149264,-8.022652194431354,-4900.71514139472,0.9999857646828587,-70.00510796645285,knn
3,0.134721040725708,1.4752388000488281,0.9999588524725357,-29.25908447380855,-13558.645224525459,0.9999588497688633,-116.44159576596955,knn
4,0.11755037307739258,1.0943410396575928,0.6755991670018442,-3666.1026952587054,-131206263.71464458,0.6391522821600564,-11454.530270362227,knn
0,0.024333953857421875,0.005970954895019531,0.9999456708523066,-110.80247329532766,-18504.067432526517,0.9999452106647125,-136.02965644493307,rr
1,0.03830409049987793,0.009712934494018555,0.9999466081232445,-107.77750282485441,-18037.86767741922,0.9999452827433633,-134.3051290063757,rr
2,0.03926515579223633,0.0030465126037597656,0.9999438650549072,-110.88825375633279,-19486.66535059116,0.9999433962486519,-139.5946465685241,rr
3,0.020911216735839844,0.002872943878173828,0.9999524470271484,-97.38478343781553,-16078.892117310364,0.9999512008673365,-126.80257141442505,rr
4,0.021760225296020508,0.003470182418823242,0.6830965668227271,-3630.1898565584156,-127879146.65549514,0.64830262730205,-11308.366223973078,rr
0,16.76234722137451,6.791911363601685,0.9999970805142168,-23.864083489351987,-1077.1806644113656,0.9999968105383963,-32.82043059454531,svr
1,16.361249446868896,6.98094630241394,0.9999963834024511,-24.73766790745917,-1240.4329388224328,0.99999623718897,-35.21978050502917,svr
2,15.729315042495728,7.066704988479614,0.9999968901099863,-23.612936236180175,-1080.4562632513578,0.9999968615524223,-32.87029454159725,svr
3,16.740131855010986,7.054632902145386,0.9999967149147474,-28.377727474424503,-1388.7217073914726,0.9999957852559531,-37.265556582338505,svr
4,16.85025382041931,6.965227127075195,0.7533185392616871,-3329.773766197498,-97782253.72890235,0.7310760774343851,-9888.490973293263,svr
