,fit_time,score_time,test_explained_variance,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_r2,test_neg_rmse,algorithm
0,0.13431453704833984,1.3777613639831543,0.9248303643133581,-83.64212521684759,-53399.73733372454,0.922802173753426,-231.08383183105767,knn
1,0.13303041458129883,1.3419404029846191,0.892930968105009,-101.35416954286613,-76059.71408042534,0.8902867420101729,-275.78925664431773,knn
2,0.13207793235778809,1.2910149097442627,0.8435064793743301,-134.2750414672802,-115083.02135723819,0.833629921176074,-339.23888538497204,knn
3,0.1323230266571045,1.4398863315582275,0.7626194230567401,-178.1593499892245,-173099.93576180364,0.7497162410596468,-416.05280405473013,knn
4,0.12108039855957031,0.8718471527099609,0.7437258541033658,-195.80299913594334,-184799.20979689233,0.7335742111895729,-429.88278611371766,knn
0,0.01276087760925293,0.0027992725372314453,0.8080223285627837,-274.24908908259687,-146201.96883446717,0.7886417658488695,-382.3636604522809,rr
1,0.013681411743164062,0.002877950668334961,0.8153770147551602,-266.52600124996167,-138970.04744151712,0.7995409678810033,-372.7868659723906,rr
2,0.013611793518066406,0.0028257369995117188,0.7747795614113118,-280.49257814795084,-156105.98340919754,0.7743249659386772,-395.10249734619185,rr
3,0.013782739639282227,0.0028264522552490234,0.7500994602789866,-355.67065863278003,-190593.333057555,0.7244226832512691,-436.5699635311103,rr
4,0.013669013977050781,0.0029439926147460938,0.6680075170386806,-312.50749591510623,-230607.39019321694,0.6675323671282549,-480.2159828589808,rr
0,13.550844192504883,6.831170558929443,0.8590362859856261,-145.0841864047602,-114961.38057312119,0.8338050124275569,-339.05955313649724,svr
1,13.15431261062622,6.8133156299591064,0.8630594498643995,-131.40857605879805,-108321.41542526857,0.8437504592272157,-329.1221892022301,svr
2,13.045285701751709,7.119338750839233,0.8313108653745991,-148.7375005535579,-121948.69778960544,0.8237045376072261,-349.211537308843,svr
3,13.369536638259888,6.799551486968994,0.8165295089653655,-179.90777198376708,-127742.13355868604,0.8152987104159083,-357.4103154060974,svr
4,13.071665048599243,6.84492301940918,0.7072171097112592,-211.23786052895727,-222068.83273317805,0.6798424409055958,-471.24179858452504,svr
